datetime,SPX_ret_1m,SPX_ret_mean_5m,SPX_ret_std_5m,SPX_amt_mean_ratio_5m,SPX_amt_std_ratio_5m,SPX_ret_mean_10m,SPX_ret_std_10m,SPX_amt_mean_ratio_10m,SPX_amt_std_ratio_10m,SPX_ret_mean_20m,SPX_ret_std_20m,SPX_amt_mean_ratio_20m,SPX_amt_std_ratio_20m,SPX_ret_mean_30m,SPX_ret_std_30m,SPX_amt_mean_ratio_30m,SPX_amt_std_ratio_30m,SPX_ret_mean_60m,SPX_ret_std_60m,SPX_amt_mean_ratio_60m,SPX_amt_std_ratio_60m,NDX_ret_1m,NDX_ret_mean_5m,NDX_ret_std_5m,NDX_amt_mean_ratio_5m,NDX_amt_std_ratio_5m,NDX_ret_mean_10m,NDX_ret_std_10m,NDX_amt_mean_ratio_10m,NDX_amt_std_ratio_10m,NDX_ret_mean_20m,NDX_ret_std_20m,NDX_amt_mean_ratio_20m,NDX_amt_std_ratio_20m,NDX_ret_mean_30m,NDX_ret_std_30m,NDX_amt_mean_ratio_30m,NDX_amt_std_ratio_30m,NDX_ret_mean_60m,NDX_ret_std_60m,NDX_amt_mean_ratio_60m,NDX_amt_std_ratio_60m,DJI_ret_1m,DJI_ret_mean_5m,DJI_ret_std_5m,DJI_amt_mean_ratio_5m,DJI_amt_std_ratio_5m,DJI_ret_mean_10m,DJI_ret_std_10m,DJI_amt_mean_ratio_10m,DJI_amt_std_ratio_10m,DJI_ret_mean_20m,DJI_ret_std_20m,DJI_amt_mean_ratio_20m,DJI_amt_std_ratio_20m,DJI_ret_mean_30m,DJI_ret_std_30m,DJI_amt_mean_ratio_30m,DJI_amt_std_ratio_30m,DJI_ret_mean_60m,DJI_ret_std_60m,DJI_amt_mean_ratio_60m,DJI_amt_std_ratio_60m
1979-01-31,,,0.0,1.0,0.0,,0.0,1.0,0.0,,0.0,1.0,0.0,,0.0,1.0,0.0,,0.0,1.0,0.0,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
1979-02-28,-0.03652558305546061,-0.03652558305546061,0.0,1.1273379580257012,0.18008306724484263,-0.03652558305546061,0.0,1.1273379580257012,0.18008306724484263,-0.03652558305546061,0.0,1.1273379580257012,0.18008306724484263,-0.03652558305546061,0.0,1.1273379580257012,0.18008306724484263,-0.03652558305546061,0.0,1.1273379580257012,0.18008306724484263,-0.025910047243185352,-0.025910047243185352,0.0,,,-0.025910047243185352,0.0,,,-0.025910047243185352,0.0,,,-0.025910047243185352,0.0,,,-0.025910047243185352,0.0,,,,,,,,,,,,,,,,,,,,,,,
1979-03-31,0.05515161638883992,0.009313016666689655,0.06482556940725649,0.9296293674174358,0.11798893828515049,0.009313016666689655,0.06482556940725649,0.9296293674174358,0.11798893828515049,0.009313016666689655,0.06482556940725649,0.9296293674174358,0.11798893828515049,0.009313016666689655,0.06482556940725649,0.9296293674174358,0.11798893828515049,0.009313016666689655,0.06482556940725649,0.9296293674174358,0.11798893828515049,0.07506525074662984,0.024577601751722244,0.07140031794093069,,,0.024577601751722244,0.07140031794093069,,,0.024577601751722244,0.07140031794093069,,,0.024577601751722244,0.07140031794093069,,,0.024577601751722244,0.07140031794093069,,,,,,,,,,,,,,,,,,,,,,,
1979-04-30,0.0016734501867132767,0.006766494506697529,0.04605031541500565,1.0389876905700333,0.1120727916470202,0.006766494506697529,0.04605031541500565,1.0389876905700333,0.1120727916470202,0.006766494506697529,0.04605031541500565,1.0389876905700333,0.1120727916470202,0.006766494506697529,0.04605031541500565,1.0389876905700333,0.1120727916470202,0.006766494506697529,0.04605031541500565,1.0389876905700333,0.1120727916470202,0.01563458487603331,0.0215965961264926,0.05075097914962771,,,0.0215965961264926,0.05075097914962771,,,0.0215965961264926,0.05075097914962771,,,0.0215965961264926,0.05075097914962771,,,0.0215965961264926,0.05075097914962771,,,,,,,,,,,,,,,,,,,,,,,
1979-05-31,-0.026336480433519993,-0.0015092492283568515,0.041081700354547626,0.9449211637302364,0.09227290202214343,-0.0015092492283568515,0.041081700354547626,0.9449211637302364,0.09227290202214343,-0.0015092492283568515,0.041081700354547626,0.9449211637302364,0.09227290202214343,-0.0015092492283568515,0.041081700354547626,0.9449211637302364,0.09227290202214343,-0.0015092492283568515,0.041081700354547626,0.9449211637302364,0.09227290202214343,-0.017934606366137085,0.011713795503335178,0.04591064055015591,,,0.011713795503335178,0.04591064055015591,,,0.011713795503335178,0.04591064055015591,,,0.011713795503335178,0.04591064055015591,,,0.011713795503335178,0.04591064055015591,,,,,,,,,,,,,,,,,,,,,,,
1979-06-30,0.03865564957886636,0.00652373053308779,0.03985502976105432,0.8248256718086681,0.12118875052390045,0.00652373053308779,0.03985502976105432,0.8288543079343805,0.10884277677933302,0.00652373053308779,0.03985502976105432,0.8288543079343805,0.10884277677933302,0.00652373053308779,0.03985502976105432,0.8288543079343805,0.10884277677933302,0.00652373053308779,0.03985502976105432,0.8288543079343805,0.10884277677933302,0.051057729473114266,0.019582582297290995,0.043479066397956186,,,0.019582582297290995,0.043479066397956186,,,0.019582582297290995,0.043479066397956186,,,0.019582582297290995,0.043479066397956186,,,0.019582582297290995,0.043479066397956186,,,,,,,,,,,,,,,,,,,,,,,
1979-07-31,0.008745446161282588,0.01557793637643643,0.03199801943729035,0.8900792842015194,0.1077781946518939,0.006894016471120257,0.035658959433206225,0.8539084954939306,0.11848663323903236,0.006894016471120257,0.035658959433206225,0.8539084954939306,0.11848663323903236,0.006894016471120257,0.035658959433206225,0.8539084954939306,0.11848663323903236,0.006894016471120257,0.035658959433206225,0.8539084954939306,0.11848663323903236,0.023166559292870703,0.029397903604502208,0.035437549809948704,,,0.02017991179655428,0.0389163742794013,,,0.02017991179655428,0.0389163742794013,,,0.02017991179655428,0.0389163742794013,,,0.02017991179655428,0.0389163742794013,,,,,,,,,,,,,,,,,,,,,,,
1979-08-31,0.05307776000206954,0.015163165099082354,0.0313639659394493,1.0900831638732686,0.1402945016958123,0.013491694118398725,0.03693697256468544,1.0494894761363933,0.13719596453249144,0.013491694118398725,0.03693697256468544,1.0494894761363933,0.13719596453249144,0.013491694118398725,0.03693697256468544,1.0494894761363933,0.13719596453249144,0.013491694118398725,0.03693697256468544,1.0494894761363933,0.13719596453249144,0.06445907091433867,0.027276667638043973,0.032189130130108184,,,0.026505505956237765,0.03927037237141836,,,0.026505505956237765,0.03927037237141836,,,0.026505505956237765,0.03927037237141836,,,0.026505505956237765,0.03927037237141836,,,,,,,,,,,,,,,,,,,,,,,
1979-09-30,0.0,0.014828475061739699,0.031552268215230175,0.8626754760589356,0.11113559795508123,0.011805232353598885,0.03452806774904261,0.7953957653708347,0.12144377641879693,0.011805232353598885,0.03452806774904261,0.7953957653708347,0.12144377641879693,0.011805232353598885,0.03452806774904261,0.7953957653708347,0.12144377641879693,0.011805232353598885,0.03452806774904261,0.7953957653708347,0.12144377641879693,-0.0030577419994815003,0.02353820226294101,0.03485440465116148,,,0.022810099961772856,0.03782990182215853,,,0.022810099961772856,0.03782990182215853,,,0.022810099961772856,0.03782990182215853,,,0.022810099961772856,0.03782990182215853,,,,,,,,,,,,,,,,,,,,,,,
1979-10-31,-0.06860592774365959,0.00637458559971178,0.04714760676187412,1.1863452738237092,0.16972864179980457,0.0028706590094590544,0.041971459794108816,1.0946240761302461,0.16252316295601105,0.0028706590094590544,0.041971459794108816,1.0946240761302461,0.16252316295601105,0.0028706590094590544,0.041971459794108816,1.0946240761302461,0.16252316295601105,0.0028706590094590544,0.041971459794108816,1.0946240761302461,0.16252316295601105,-0.09634616188743428,0.007855891158681572,0.06380029505936745,,,0.009570515311860952,0.053195800616303635,,,0.009570515311860952,0.053195800616303635,,,0.009570515311860952,0.053195800616303635,,,0.009570515311860952,0.053195800616303635,,,,,,,,,,,,,,,,,,,,,,,
